State,District,University Type,University Name,College Name,College Type,Address,Website,Management,"Year of Establishment
",Specialised in,Location,,Upload Year,The Institute Added In Survey Year
Andaman and Nicobar Islands,Nicobars,Central University ,"Pondicherry Univeristy, Puducherry (Id: U-0369)",Jawaharlal Nehru Rajkeeya  Mahavidyalaya (Id: C-6498),Affiliated College,"Jawaharlal Nehru Rajkeeya  Mahavidyalaya, M S Road, Port Blair",jnrm.and.nic.in,Central Government,1967,No,Urban,,2019,2010
Andaman and Nicobar Islands,Nicobars,Central University ,"Pondicherry Univeristy, Puducherry (Id: U-0369)",Regional Medical Research Institute (I.C.M.R.) (Id: C-6575),Affiliated College,"Post Bag No 13, Dollygunj, Port Blair",http://www.rmrc.res.in,Central Government,1983,Medical-Others,Urban,,2019,2010
Andaman and Nicobar Islands,Nicobars,Central University ,"Pondicherry Univeristy, Puducherry (Id: U-0369)",Tagore Government College of Education (Id: C-6574),Affiliated College,"M.G. Road, Middle Point, Port Blair - 744101",www.tgce.and.nic.in,State Government,1981,Education/Teacher Education,Urban,,2019,2010
Andaman and Nicobar Islands,Nicobars,Central University ,"Pondicherry Univeristy, Puducherry (Id: U-0369)",Zoological Survey of India (Id: C-6560),Affiliated College,"Zoological Survey of India, Andaman & Nicobar Regional Centre, National Coral Reef Research Institute, Horticulture Road, Haddo, Port Blair",www.zsi.gov.in,Central Government,1977,Science,Urban,,2019,2010
Andaman and Nicobar Islands,North and Middle Andaman,Central University ,"Pondicherry Univeristy, Puducherry (Id: U-0369)",Mahatma Gandhi Govt. College (Id: C-6547),Affiliated College,"Rampur, Mayabunder, Mayabunder",http://mggcm.and.nic.in,Central Government,1990,No,Rural,,2019,2010
Andaman and Nicobar Islands,South Andamans,Central University ,"Pondicherry Univeristy, Puducherry (Id: U-0369)",Andaman and Nicobar inslands Institute of medical sciences (Id: C-60180),Affiliated College,"DHS Annexe Building, Atlanta Point, Port Blair",www.aniims.org,Central Government,2015,Medical-Allopathy,Urban,,2019,2018
Andaman and Nicobar Islands,South Andamans,Central University ,"Pondicherry Univeristy, Puducherry (Id: U-0369)",ANDAMAN COLLEGE (ANCOL) (Id: C-50934),Affiliated College,"CHAKKARGOAN, SOUTH ANDAMAN, PORT BLAIR",www.ancol.andaman.gov.in,Central Government,2014,No,Urban,,2020,2014
Andaman and Nicobar Islands,South Andamans,Central University ,"Pondicherry Univeristy, Puducherry (Id: U-0369)",ANDAMAN LAW COLLEGE (Id: C-63976),Affiliated College,"Andaman Law College, Transport Bhawan, Phoenix Bay",https://andamanlawcollege.andaman.gov.in,State Government,2016,Law,Urban,,2020,2020
Andaman and Nicobar Islands,South Andamans,Central University ,"Pondicherry Univeristy, Puducherry (Id: U-0369)",Dr.B.R. Ambedkar Institute of Technology (Id: C-6528),Affiliated College,"Pahargaon, Junglighat Post office Pin 744103, South Andaman District, Port Blair.",http://dbragpt.andaman.gov.in,Central Government,1984,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Acharya NG Ranga Agricultural University, Guntur (Id: U-0004)","College of Agricultural Engineering, Madakasira (Id: C-26381)",Constituent / University College,"Penukonda Road, Madakasira, College of Agricultural Engineering, Madakasira, MADAKASIRA",,State Government,2008,Engineering & Technology,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Acharya NG Ranga Agricultural University, Guntur (Id: U-0004)","J.C.Diwakar Reddy Agricultural College, Tadiptri (Id: C-56609)",Affiliated College,"Juturu Campus, Peddapappur Mandal, Anantapuramu Dist, Tadipatri",jcdragriandhorti.com,Private Aided,2016,Agriculture,Rural,,2020,2016
Andhra Pradesh,Anantapur,State Public University ,"Acharya NG Ranga Agricultural University, Guntur (Id: U-0004)",Sri Krishnadevaraya College of Agricultural Sciences (Id: C-56607),Affiliated College,"SANAPA ROAD, ALAMURU POST, ANANTAPURAMU",www.skcas.ac.in,Private Un-Aided,2016,Agriculture,Rural,,2020,2016
Andhra Pradesh,Anantapur,State Public University ,"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)","Adarsha College of Nursing, Anantapur (Id: C-30633)",Affiliated College,"mahanandi irrigation systems backside,k.k.colony, kalyanadurgam road, ANANTAPURAMU",,Private Un-Aided,2004,Nursing,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)","Balaji College of Nursing, Anantapur (Id: C-30510)",Affiliated College,"D-NO 1-331-2, sivalayam street madana palle, Madanapalle",,Private Un-Aided,2006,Nursing,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)","Divya College of Nursing, Anantapur (Id: C-30637)",Affiliated College,"H.no.4/62,Kalyandurg road, Near Bypass,Anantapur, Anantapur",.....,Private Un-Aided,2006,No,Urban,,2011,2010
Andhra Pradesh,Anantapur,State Public University ,"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)","Government College of Nursing, Anantapur (Id: C-30521)",Affiliated College,"Government College of Nursing, JNTU Engineering College Road,, Sarada Nagar,, Anantapur",www.gconatp.com ,State Government,2006,Nursing,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)","Government Medical College, Anantapur (Id: C-30409)",Affiliated College,"Opp. EE, R&B Office, Sainagar, Anantapur, Anantapur",http://gmcatp.in,State Government,2000,Medical-Others,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)","Kasturi College of Physiotherapy, Anantapur (Id: C-30581)",Affiliated College,"3/5,LIC Colony,, Opp JNTUA, Anantapur",www.kasturiphysiotherapy.com,Private Un-Aided,2002,Physiotherapy,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)","Nirmala College of Nursing, Anantapur (Id: C-30625)",Affiliated College,"L.S. NAGAR, NEAR RUDRAMPETA, ANANTAPUR",nirmalacollegeofnursing.com,Private Un-Aided,2005,Nursing,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)",SAVEERA COLLEGE OF NURSING (Id: C-66091),Affiliated College,"1-1348  Ford show room , Anantapur,Andra Pradesh,India., Sri Nagar Colony Extn NH44 Backside, Saveera Hospital Premises ANANTHAPUR",,Private Aided,2018,No,Rural,,2020,2020
Andhra Pradesh,Anantapur,State Public University ,"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)","Sri Adi Siva Sadguru College of B.Sc. MLT, Guntakal (Id: C-30665)",Affiliated College,"GUNTAKAL, GUNTAKAL",,Private Un-Aided,2007,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)",SRI LAKSHMI VENKATESWARA COLLEGE OF NURSING (Id: C-65952),Affiliated College,,,,,,,,NO,2021
Andhra Pradesh,Anantapur,State Public University ,"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)","Sri Padmavathi College of Nursing, Guntakal (Id: C-30684)",Affiliated College,"GUNTAKAL, GUNTAKAL",,Private Un-Aided,1998,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)",Sri Pathanjali Maharshi Naturopathy and Yoga Medical College Guntakal (Id: C-55548),Affiliated College,,,,,,,,NO,2015
Andhra Pradesh,Anantapur,State Public University ,"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)","Sri Sadguru Alli Sabeh Swamy College of B.Sc. MLT, Guntakal (Id: C-30546)",Affiliated College,"Guntakal, Guntakal",,Private Un-Aided,2001,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)","Sri Sai College of Nursing, Anantapur (Id: C-30494)",Affiliated College,"DOOR No.7-1-c, GUJJALASARALADEVINAGAR, GOOTY ROAD, BUKKARAYASAMUDRAM VILLAGE & MANDAL",www.srisaicollegeofnursing.com,Private Un-Aided,2004,Nursing,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)","Sri Venkata Padmavathi College of Nursing, Anantapur (Id: C-30485)",Affiliated College,"ANANTAPUR, ANANTAPUR",,Private Un-Aided,1998,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)","Sri Venkata Padmavathi College of Nursing, Guntakal (Id: C-30542)",Affiliated College,"GUNTAKAL, GUNTAKAL",,Private Un-Aided,2000,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Dr. N.T.R. University of Health Sciences, Vijaywada (Id: U-0008)","Sri Vignan Nursing Academy College, Kadiri (Id: C-30400)",Affiliated College,"JAGARAJUPALLI, Kappala Banda, PUUTTAPATHY",www.srivignan.com,Private Un-Aided,2006,Nursing,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,Dr Y S R Horticulture University (Id: U-0001),J C DIWAKAR REDDY HORTICULTURAL COLLEGE (Id: C-63727),Affiliated College,"Tadipatri Juturu Campus, Ananatapuramu Dist, Tadipathri",jcdragriandhorti.com,Private Aided,2017,Horticulture,Rural,,2020,2019
Andhra Pradesh,Anantapur,State Public University ,Dr Y S R Horticulture University (Id: U-0001),Sri Krishnadevaraya College of Horticultural Sciences (Id: C-63856),Affiliated College,"Sanap Road, Alamuru post, Anantapur",,Private Un-Aided,2016,Horticulture,Rural,,2020,2019
Andhra Pradesh,Anantapur,State Public University ,Dr Y S R Horticulture University (Id: U-0001),S S P G Horticultural Polytechnic (Id: C-56296),Constituent / University College,"Penukonda Road, Madakasira, Madakasira",www.drysrhu.edu.in,Central Government,2008,Horticulture,Rural,,2020,2016
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Anantha Lakshmi Institute of Technology & Sciences (Id: C-26940),Affiliated College,"Near S K University, ITikalapalli, Anantapur, Anantapur",www.alits.ac.in,Private Un-Aided,2008,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)","Balaji  College of Pharmacy, Anantapur (Id: C-26897)",Affiliated College,"RUDRAMPETA, ALAMURU-POST, Anantpaur",www.balajipharmacy.ac.in,Private Aided,2005,Pharmacy,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)","BIT Insitute of Technology,  (F3) Hindupur (Id: C-26997)",Affiliated College,"Kadiri Road, BIT (B.O), Hindupur - 515 201",www.bitit.org,Private Un-Aided,2001,Engineering & Technology,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)","Chiranjeevi Reddy Institute of Engineering and Technology, Anantapur (Id: C-26909)",Affiliated College,"Bellary Road,Rachanapalli, Anantapur - 515004, Bellary Road, Rachanapalli,Anantapur - 515004, Anantapur",www.crit.ac.in,Private Un-Aided,2008,Engineering & Technology,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)","GATES Institute of Technology,  Gooty (Id: C-27016)",Affiliated College,"NH-44, GOOTYANANTAPURAMU (VILLAGE), PEDDAVADUGURU (MANDAL), GOOTY",www.gatesit.ac.in,Private Un-Aided,2001,Engineering & Technology,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)","JNTUA College of Engineering, Anantapur (Id: C-26928)",Constituent / University College,"Sir M V Road, JNTUA College of Engineering, Anantapur",www.jntuacea.ac.in,University,1946,Engineering & Technology,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",JNTUA Oil Technological and Pharmaceutical Research Institute (Id: C-26966),Constituent / University College,"JNTUA-OTPRI, beside collector office, Opposite to All India Radio Station, Anantapuramu",www.jntua-otpri.ac.in,University,1949,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)","PVKK Institute of Technology, Anantapur (Id: C-26948)",Affiliated College,"SANAPA ROAD, RUDRAMPET, ANANTAPUR",www.pvkkit.ac.in,Private Un-Aided,2008,Engineering & Technology,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",RAGHAVENDRA INSTITUTE OF MANAGEMENT SCIENCES (Id: C-54176),Affiliated College,"Krishnamreddy Palli Cross , Chiyyedu Post, Anantapuramu, Anantapuramu",www.rimsatp.org,Private Un-Aided,2015,Management,Rural,,2020,2015
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)","Raghavendra Institute of Pharmaceutical Education & Research, Anantapur (Id: C-26907)",Affiliated College,"Krishnamreddy Palli Cross, Chiyyedu Post, Anantapuramu Rural",www.riper.ac.in,Private Un-Aided,2002,Pharmacy,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)","Sanskrithi School of Business, Puttaparthi (Id: C-26944)",Affiliated College,"Beedupalli Road,, Prasanthi Gram, Puttaparthi, Anantapuramu",www.sanskrithibschool.com,Private Un-Aided,2010,Management,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)","SANSKRITHI SCHOOL OF ENGINEERING, PUTTAPARTHI (Id: C-54957)",Affiliated College,"BEEDUPALLI ROAD, PRASANTHIGRAM, PUTTAPARTHI",www.sseptp.org,Private Un-Aided,2015,Engineering & Technology,Urban,,2020,2015
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)","Shri Sai Institute of Engineering and Technology, Vadiyampet,  Anantapur (Id: C-26975)",Affiliated College,"N.H.44, VADIYAMPETA (V & P), BUKKARAYASAMUDRAM (MANDAL), ANANTHAPURAMU",www.ssea.in,Private Un-Aided,2008,Engineering & Technology,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)","Shri Shirdi Sai Institute of Science and Engineering(9A), Vadiyampet, Anantapur (Id: C-26960)",Affiliated College,"NH-44, VADIYAMPETA (V & P), BUKKARAYASAMUDRAM (MANDAL), ANANTHAPURAMU",www.ssss.ac.in,Private Un-Aided,2009,Engineering & Technology,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)","Sir C.V. Raman Institute of Technology & Sciences, Tadipatri, (Id: C-26920)",Affiliated College,"Behind Bharath petrol Bunk, Anantapur road, TADIPATRI",https://cvrt.in/,Private Un-Aided,2009,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)","SRI BALAJI PG COLLEGE (MBA), ALAMURU (P), RUDRAMPETA (Id: C-48564)",Affiliated College,"ALAMURU (POST), RUDRAMPETA, AANTAPUR",www.balajiablj.org,Private Un-Aided,2002,No,Rural,,2020,2013
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)","SRI BALAJI PG COLLEGE (MCA), ALAMURU (P), RUDRAMPETA (Id: C-48565)",Affiliated College," Alamuru (Post), Rudrampeta, Anantapuramu, ANANTHAPURAMU",www.sribalajimbamca.in,Private Un-Aided,2001,No,Rural,,2020,2013
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",SRINIVASA RAMANUJAN INSTITUTE OF TECHNOLOGY (Id: C-26984),Affiliated College,"ROTARYPURAM VILALGE,, BUKKARAYA SAMUDRAM MANDAL, ANANTAPURAM - 515 701",www.srit.ac.in,Private Un-Aided,2008,Engineering & Technology,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)","Sri Venkateswara Institute of Technology, Hampapuram,Anantapur (Id: C-26972)",Affiliated College,"NH-44, Behind Anantha PVC Pipes, Hampapuram(V), Rapthadu(M), Anantapur",WWW.SVITATP.AC.IN,Private Un-Aided,2009,Engineering & Technology,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Sri Venkateswara School of Business (Id: C-60034),Affiliated College,"NH-44, HAMPAPURAM (V), RAPTHADU, ANANTAPUR",www.svsbatp.org,Private Un-Aided,2018,Management,Rural,,2020,2018
Andhra Pradesh,Anantapur,State Public University ,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)","Tadipatri Engineering College,  Tadipatri (Id: C-26884)",Affiliated College,"VEERAPURAM VILLAGE, TADIPATRI MANDAL, TADIPATRI",www.tec.ac.in,Private Un-Aided,2010,Engineering & Technology,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","A.M. Linganna College of Education, Hindupur (Id: C-31001)",Affiliated College,"PARIGI MANDAL, SEVAMANDIR, PARIGI MANDAL, SEVAMANDIR, HINDUPUR",sevamandirhup.org,Private Un-Aided,2007,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","A.N.K. Degree College, Gorantla (Id: C-30924)",Affiliated College,"KADIRI MAIN ROAD, NEAR KASIREDDY PALLI VILLAGE, GORANTLA (M & P)",akdcgrt.website.com/website,Private Un-Aided,2010,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Balayesu Degree College, Hindupur (Id: C-30982)",Affiliated College,"#19-2-79, Ninkampalli Road, Hindupur, Hindupur",,Private Un-Aided,1998,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Blue Moon Degree College, Kadiri (Id: C-55169)",Affiliated College,"Katagalla- kadiri, Kadiri, Kadiri",bmdc.edu.in,Private Un-Aided,2013,No,Urban,,2020,2014
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","CMI Degree College, Anantapur (Id: C-30981)",Affiliated College,"BSN COMPLEX OPP PANJAB NATIONAL BANK, RAJU ROAD KAMALANAGAR, ANANTHAPURAMU",WWW.CMIDEGREECOLLEGE.COM,Private Un-Aided,2001,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","CSIRD Institute of Management, Gooty (Id: C-31013)",Affiliated College,"NH-63 Guntakal Road, Gooty, Gooty",,Private Un-Aided,2003,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","C.V.L.N.R. Degree College, Anantapur (Id: C-31015)",Affiliated College,"Survey No.33, Rachanapalli, Anantapuram",,Private Un-Aided,1991,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","C.V. Raman Degree College, Tadipatri (Id: C-30955)",Affiliated College,"YELLANUR ROAD,, TADIPATRI, TADIPATRI",https://scvrdc.com/,Private Un-Aided,2001,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",DEEKSHITHA B.Ed COLLEGE (Id: C-59009),Affiliated College,"SAJJALADINNE PANCHYAT,, CHUKKALUR POST, VENKATAREDDY PALLI VILLAGE,TADIPATRI MANDAL",www.dedsociety.org,Private Un-Aided,2016,No,Rural,,2020,2017
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",ENLIGHT COLLEGE OF SCIENCE AND COMMERCE (Id: C-67567),Affiliated College,,,,,,,,NO,2021
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Government Degree College for Men (Autonomous), Anantapur (Id: C-30916)",Affiliated College,"Near Tower Clock, Railway Station Road, ANANTAPUR",www.gdcatp.ac.in,State Government,1916,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Government Degree College, Tadipatri (Id: C-30939)",Affiliated College,"Near Auto Nagar, Tadipatri - 515411, Tadipatri",www.gdctadipatri.ac.in,Central Government,1978,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Government Degree College, Uravakonda (Id: C-30929)",Affiliated College,"BELLARY BY PASS ROAD, URAVAKONDA, URAVAKONDA",www.gdcuravakonda.ac.in,State Government,1980,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Haindavi College of Education, Dharmavaram (Id: C-30999)",Affiliated College,"DHARMAVARAM ANANTAPUR(DIST) A.P 515671, PLOT NO 15-1NEAR MOTUMARLA VILLAGE DHARMAVARAM 515671, DHARAMARAM",haindavicollegeofeducation.org,Private Un-Aided,1999,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Haindavi PG College, Dharmavaram (Id: C-30983)",Affiliated College,"Puttaparthi Road,, Dharmavaram, Dharmavaram",www.haindavipgcollege.org,Private Un-Aided,2009,Management,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","J.C.N.R.M. Degree College, Tadipatri (Id: C-30974)",Affiliated College,"KALAVAGADDA STREET, PUTLUR ROAD, TADIPATRI",www.jcnrmdegreecollege.com,Private Un-Aided,1992,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Jyothirmayee Degree College for Women, Kalyandurg (Id: C-54919)",Affiliated College,"DODAGATTA ROAD , KALYANDURG, KALYANDURG",http://jyothirmayeewomensdegreecollege.com/,Private Un-Aided,2014,No,Urban,,2020,2014
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",K.G.N DEGREE COLLEGE (Id: C-60729),Affiliated College,"D NO:2-141,2142, MAIN ROAD, DOWN STREET, KANEKAL",kgndckkl.in,Private Un-Aided,2006,No,Rural,,2020,2018
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","K.H. Government Degree College, Dharmavaram (Id: C-30963)",Affiliated College,"Guttakindapalli, Dharmavaram, Dharmavaram, Dharmavaram",www.khgdcdmm.ac.in,State Government,1982,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","K.S.N. Government Degree College for Women, Anantapur (Id: C-30938)",Affiliated College,"BEHIND R.TO OFFICE, BHIRAVANAGAR, J.N.T.U ROAD, BACKSIDE OF RED CROSS BLOOD BANK, ANANTAPUR",www.ksngdcw.ac.in,State Government,1984,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","K.T.S. Government Degree College, Rayadurg (Id: C-30933)",Affiliated College,"74 Udegolam, RAYADURG, RAYADURG",www.gdcrayadurg.ac.in,State Government,1981,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",KURLI ANNAPURANAMMA RAMIREDDY DEGREE COLLEGE  (Id: C-56612),Affiliated College,"Sy no.137/2, Ragani Palli Road, Nallamada Vil& Post, Kadiri",www.kurliannapurnammaramireddy.com,Private Un-Aided,2015,No,Rural,,2020,2016
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Little Flower College of Education for Women, Anantapur (Id: C-31008)",Affiliated College,"10-216, ADIMURTHY NAGAR, ANANATAPUR",www.litwatp.org,Private Un-Aided,1981,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Little Flower Degree College, Anantapur (Id: C-30975)",Affiliated College,"Door No. 13-3-306, Thakai Towers, R.F. Road, Ananthapuramu",,Private Un-Aided,1997,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Mahathma Degree College, Uravakonda (Id: C-31021)",Affiliated College,"Near Power Office, Opp Police station, Uravakonda",www.mahatmadegreecollege.com,Private Un-Aided,2008,No,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Mangalakara Degree College, Jagaraju Palli (Id: C-51879)",Affiliated College,"2-189-A JAGARAJUPALLI VILLAGEKAPPALABANDA PANCHAYATHVIA KOTHACHERUVU PUTTAPARTHY MANDALANANTHAPURAMU DISTRICT, Anantapur,PUTTAPARTHI,JAGARAJUPALLE, Gorantla Main Road,JAGARAJUPALLI-515134, GORANTLA ROAD, Puttaparthi",www.mangalakaradegreecollege.com,Private Un-Aided,2014,No,Rural,,2020,2014
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","M.S. Degree College, Gooty (Id: C-30994)",Affiliated College,"NH 67 GUNTAKAL ROAD, GOOTY, Gooty",www.msdc.com,Private Un-Aided,1991,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Nalanda Degree College, Anantapur (Id: C-30953)",Affiliated College,"D.No.6-5-233, 80 ft ROAD, ANANTAPUR, Ram Nagar, ANANTAPUR",www.nalandadegreecollege.com,Private Un-Aided,2005,No,Urban,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Narayana B.P.Ed. College, Tadipatri (Id: C-54464)",Affiliated College,"PEDDA POLAMADA(V), PEDDA POLAMADA(P) TADIPATRI(M), TADIPATRI",www.nara2015.com,University,2015,No,Rural,,2020,2015
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)",NARAYANA COLLEGE OF EDUCATION (Id: C-59262),Affiliated College,"RAVI VENKATAM PALLI(V), YERRAGUNTAPALLI(P), TADIPATRI(M), ANANTAPURAMU (DIST)",www.ncta2016.com,Private Un-Aided,2016,No,Rural,,2020,2017
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","Narayana Institute of Management, Tadipatri (Id: C-30984)",Affiliated College,"RAVI VENKATAM PALLI (V), Yerraguntapalli (P) Tadipatri (M), Anantapuramu (Dt)",www.nims2010.com,Private Un-Aided,2010,Management,Rural,,2020,2010
Andhra Pradesh,Anantapur,State Public University ,"Sri Krishnadevaraya University, Anantapur (Id: U-0033)","N.S.P.R. Government Degree College for Women, Hindupur (Id: C-30920)",Affiliated College,"Thyagaraj Nagar, Hindupur, Hindupur",www.nsprgdcwhindupur.ac.in,State Government,1987,No,Urban,,2020,2010
